Unnamed: 0,timestamp,TP2,TP3,H1,DV_pressure,Reservoirs,Oil_temperature,Motor_current,COMP,DV_eletric,Towers,MPG,LPS,Pressure_switch,Oil_level,Caudal_impulses
0,2020-02-01 00:00:00,-0.0120000000000004,9.358,9.34,-0.0240000000000009,9.358,53.60000000000001,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
10,2020-02-01 00:00:10,-0.0139999999999993,9.348,9.332,-0.0219999999999984,9.348,53.67500000000001,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
20,2020-02-01 00:00:19,-0.0120000000000004,9.338,9.322,-0.0219999999999984,9.338,53.60000000000001,0.0424999999999995,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
30,2020-02-01 00:00:29,-0.0120000000000004,9.328,9.312,-0.0219999999999984,9.328,53.42499999999998,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
40,2020-02-01 00:00:39,-0.0120000000000004,9.318,9.302,-0.0219999999999984,9.318,53.47500000000001,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
50,2020-02-01 00:00:49,-0.0120000000000004,9.306,9.29,-0.0240000000000009,9.308,53.49999999999999,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
60,2020-02-01 00:00:59,-0.0120000000000004,9.296,9.28,-0.0240000000000009,9.298,53.375,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
70,2020-02-01 00:01:09,-0.0139999999999993,9.286,9.27,-0.0240000000000009,9.286,53.55000000000001,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
80,2020-02-01 00:01:19,-0.0120000000000004,9.276,9.258,-0.0219999999999984,9.276,53.42499999999998,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
90,2020-02-01 00:01:29,-0.0120000000000004,9.264,9.248,-0.0219999999999984,9.264,53.375,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
100,2020-02-01 00:01:39,-0.0139999999999993,9.256,9.24,-0.0240000000000009,9.256,53.400000000000006,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
110,2020-02-01 00:01:49,-0.0120000000000004,9.246,9.228,-0.0240000000000009,9.244,53.35000000000001,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
120,2020-02-01 00:01:59,-0.0139999999999993,9.232,9.216,-0.0240000000000009,9.232,53.42499999999998,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
130,2020-02-01 00:02:09,-0.0120000000000004,9.224,9.206,-0.0219999999999984,9.222,53.325,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
140,2020-02-01 00:02:18,-0.0120000000000004,9.214,9.198,-0.0219999999999984,9.216,53.42499999999998,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
150,2020-02-01 00:02:28,-0.0139999999999993,9.204,9.188,-0.0240000000000009,9.204,53.325,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
160,2020-02-01 00:02:38,-0.0120000000000004,9.194,9.176,-0.0219999999999984,9.194,53.325,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
170,2020-02-01 00:02:48,-0.0120000000000004,9.182,9.168,-0.0219999999999984,9.184,53.275000000000006,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
180,2020-02-01 00:02:58,-0.0139999999999993,9.172,9.156,-0.0219999999999984,9.174,53.275000000000006,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
190,2020-02-01 00:03:08,-0.0120000000000004,9.162,9.146,-0.0240000000000009,9.164,53.325,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
200,2020-02-01 00:03:18,-0.0120000000000004,9.152,9.136,-0.0219999999999984,9.152,53.150000000000006,0.0375000000000005,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
210,2020-02-01 00:03:28,-0.0120000000000004,9.142,9.126,-0.0219999999999984,9.142,53.2,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
220,2020-02-01 00:03:38,-0.0120000000000004,9.132,9.116,-0.0219999999999984,9.132,53.225,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
230,2020-02-01 00:03:48,-0.0120000000000004,9.122,9.106,-0.0219999999999984,9.12,53.175,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
240,2020-02-01 00:03:58,-0.0139999999999993,9.11,9.094,-0.0240000000000009,9.11,53.125,0.0424999999999995,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
250,2020-02-01 00:04:08,-0.0139999999999993,9.1,9.084,-0.0240000000000009,9.1,53.1,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
260,2020-02-01 00:04:18,-0.0120000000000004,9.092,9.076,-0.0219999999999984,9.09,53.125,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
270,2020-02-01 00:04:27,-0.0120000000000004,9.082,9.066,-0.0240000000000009,9.082,53.225,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
280,2020-02-01 00:04:37,-0.0139999999999993,9.07,9.054,-0.0219999999999984,9.07,53.1,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
290,2020-02-01 00:04:47,-0.0139999999999993,9.06,9.044,-0.0219999999999984,9.062,53.125,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
300,2020-02-01 00:04:57,-0.0120000000000004,9.05,9.036,-0.0240000000000009,9.05,53.1,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
310,2020-02-01 00:05:07,-0.0120000000000004,9.04,9.026,-0.0219999999999984,9.042,53.1,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
320,2020-02-01 00:05:17,-0.0139999999999993,9.032,9.016,-0.0240000000000009,9.032,53.125,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
330,2020-02-01 00:05:27,-0.0139999999999993,9.018,9.006,-0.0240000000000009,9.022,53.125,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
340,2020-02-01 00:05:37,-0.0139999999999993,9.01,8.996,-0.0219999999999984,9.01,53.1,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
350,2020-02-01 00:05:47,-0.0139999999999993,9.0,8.986,-0.0219999999999984,9.002,53.025000000000006,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
360,2020-02-01 00:05:57,-0.0139999999999993,8.99,8.976,-0.0219999999999984,8.992,53.025000000000006,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
370,2020-02-01 00:06:07,-0.0139999999999993,8.982,8.966,-0.0219999999999984,8.982,53.0,0.0375000000000005,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
380,2020-02-01 00:06:16,-0.0139999999999993,8.972,8.958,-0.0240000000000009,8.974,52.975,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
390,2020-02-01 00:06:26,-0.0120000000000004,8.96,8.946,-0.0240000000000009,8.962,52.89999999999999,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
400,2020-02-01 00:06:36,-0.0139999999999993,8.952,8.936,-0.0219999999999984,8.952,52.82500000000002,0.0375000000000005,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
410,2020-02-01 00:06:46,-0.0120000000000004,8.942,8.926,-0.0219999999999984,8.944,52.82500000000002,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
420,2020-02-01 00:06:56,-0.0139999999999993,8.932,8.916,-0.0240000000000009,8.932,52.82500000000002,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
430,2020-02-01 00:07:06,-0.0120000000000004,8.924,8.908,-0.0219999999999984,8.922,52.77499999999999,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
440,2020-02-01 00:07:16,-0.0120000000000004,8.914,8.898,-0.0219999999999984,8.914,52.750000000000014,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
450,2020-02-01 00:07:26,-0.0120000000000004,8.902,8.888,-0.0240000000000009,8.902,52.725,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
460,2020-02-01 00:07:36,-0.0139999999999993,8.892,8.878,-0.0219999999999984,8.894,52.77499999999999,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
470,2020-02-01 00:07:46,-0.0139999999999993,8.884,8.868,-0.0219999999999984,8.886,52.69999999999999,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
480,2020-02-01 00:07:56,-0.0139999999999993,8.874,8.86,-0.0240000000000009,8.876,52.69999999999999,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
490,2020-02-01 00:08:06,-0.0139999999999993,8.862,8.85,-0.0240000000000009,8.866,52.64999999999999,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
500,2020-02-01 00:08:15,-0.0139999999999993,8.854,8.84,-0.0219999999999984,8.856,52.725,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
